,FIP,Year,population
730,18037,2010,41906
731,18039,2010,197444
732,18041,2010,24326
733,18043,2010,74710
734,18045,2010,17275
735,18047,2010,23057
736,18049,2010,20813
737,18051,2010,33545
738,18053,2010,69906
739,18055,2010,33205
740,18057,2010,276509
741,18059,2010,70229
742,18061,2010,39328
743,18063,2010,145912
744,18065,2010,49530
745,18067,2010,82755
746,18069,2010,37117
747,18071,2010,42586
748,18073,2010,33496
749,18075,2010,21178
750,18077,2010,32401
751,18079,2010,28482
752,18081,2010,140272
753,18083,2010,38393
754,18085,2010,77341
755,18087,2010,37158
756,18089,2010,495939
757,18091,2010,111455
758,18093,2010,46102
759,18095,2010,131619
760,18097,2010,904602
761,18099,2010,46999
762,18101,2010,10359
763,18103,2010,36810
764,18105,2010,138560
765,18107,2010,38097
766,18109,2010,69154
767,18111,2010,14234
768,18113,2010,47455
769,18115,2010,6095
770,18117,2010,19806
771,18119,2010,21570
772,18121,2010,17281
773,18123,2010,19410
774,18125,2010,12729
775,18127,2010,164500
776,18129,2010,25859
777,18131,2010,13326
778,18133,2010,37914
779,18135,2010,26178
780,18137,2010,28816
781,18139,2010,17384
782,18141,2010,266809
783,18143,2010,24164
784,18145,2010,44315
785,18147,2010,20912
786,18149,2010,23345
787,18151,2010,34136
788,18153,2010,21389
789,18155,2010,10696
790,18157,2010,173102
791,18159,2010,15878
792,18161,2010,7537
793,18163,2010,179842
794,18165,2010,16116
795,18167,2010,107883
796,18169,2010,32848
797,18171,2010,8521
798,18173,2010,59841
799,18175,2010,28300
800,18177,2010,68890
801,18179,2010,27681
802,18181,2010,24687
803,18183,2010,33356
804,19000,2010,3050767
805,19001,2010,7679
806,19003,2010,4023
807,19005,2010,14379
808,19007,2010,12856
809,19009,2010,6098
810,19011,2010,26046
811,19013,2010,131165
812,19015,2010,26274
813,19017,2010,24295
814,19019,2010,20978
815,19021,2010,20355
816,19023,2010,14921
817,19025,2010,10160
818,19027,2010,20823
819,19029,2010,13929
820,19031,2010,18504
821,19033,2010,44096
822,19035,2010,12109
823,19037,2010,12410
824,19039,2010,9320
825,19041,2010,16635
826,19043,2010,18081
827,19045,2010,49097
828,19047,2010,17170
829,19049,2010,66748
830,19051,2010,8775
831,19053,2010,8419
832,19055,2010,17763
833,19057,2010,40241
834,19059,2010,16670
835,19061,2010,93927
836,19063,2010,10276
837,19065,2010,20860
838,19067,2010,16311
839,19069,2010,10706
840,19071,2010,7434
841,19073,2010,9362
842,19075,2010,12465
843,19077,2010,10937
844,19079,2010,15631
845,19081,2010,11297
846,19083,2010,17543
847,19085,2010,14909
848,19087,2010,20106
849,19089,2010,9568
850,19091,2010,9793
851,19093,2010,7067
852,19095,2010,16335
853,19097,2010,19828
854,19099,2010,36813
855,19101,2010,16836
856,19103,2010,131339
857,19105,2010,20689
858,19107,2010,10509
859,19109,2010,15525
860,19111,2010,35849
861,19113,2010,211697
862,19115,2010,11382
863,19117,2010,8898
864,19119,2010,11568
865,19121,2010,15737
866,19123,2010,22408
867,19125,2010,33224
868,19127,2010,40722
869,19129,2010,15076
870,19131,2010,10792
871,19133,2010,9248
872,19135,2010,7997
873,19137,2010,10690
874,19139,2010,42749
875,19141,2010,14408
876,19143,2010,6459
877,19145,2010,15920
878,19147,2010,9399
879,19149,2010,24974
880,19151,2010,7289
881,19153,2010,432362
882,19155,2010,93365
883,19157,2010,18925
884,19159,2010,5113
885,19161,2010,10354
886,19163,2010,165274
887,19165,2010,12174
888,19167,2010,33753
889,19169,2010,89654
890,19171,2010,17719
891,19173,2010,6322
892,19175,2010,12512
893,19177,2010,7577
894,19179,2010,35682
895,19181,2010,46341
896,19183,2010,21691
897,19185,2010,6419
898,19187,2010,37884
899,19189,2010,10844
900,19191,2010,21075
901,19193,2010,102388
902,19195,2010,7583
903,19197,2010,13185
904,20000,2010,2858213
905,20001,2010,13363
906,20003,2010,8103
907,20005,2010,16857
908,20007,2010,4852
909,20009,2010,27674
910,20011,2010,15136
911,20013,2010,9968
912,20015,2010,65904
913,20017,2010,2783
914,20019,2010,3649
915,20021,2010,21527
916,20023,2010,2714
917,20025,2010,2199
918,20027,2010,8550
919,20029,2010,9519
920,20031,2010,8585
921,20033,2010,1885
922,20035,2010,36312
923,20037,2010,39172
924,20039,2010,2957
925,20041,2010,19773
926,20043,2010,7960
927,20045,2010,111195
928,20047,2010,3054
929,20049,2010,2867
930,20051,2010,28424
931,20053,2010,6516
932,20055,2010,36953
933,20057,2010,34009
934,20059,2010,25984
935,20061,2010,35240
936,20063,2010,2692
937,20065,2010,2602
938,20067,2010,7825
939,20069,2010,6026
940,20071,2010,1258
941,20073,2010,6680
942,20075,2010,2707
943,20077,2010,6007
944,20079,2010,34741
945,20081,2010,4273
946,20083,2010,1920
947,20085,2010,13462
948,20087,2010,19138
949,20089,2010,3063
950,20091,2010,545665
951,20093,2010,4002
952,20095,2010,7857
953,20097,2010,2569
954,20099,2010,21534
955,20101,2010,1736
956,20103,2010,76510
957,20105,2010,3244
958,20107,2010,9627
959,20109,2010,2774
960,20111,2010,33649
961,20113,2010,29126
962,20115,2010,12670
963,20117,2010,10111
964,20119,2010,4596
965,20121,2010,32882
966,20123,2010,6336
967,20125,2010,35353
968,20127,2010,5918
969,20129,2010,3240
970,20131,2010,10161
971,20133,2010,16474
972,20135,2010,3104
973,20137,2010,5665
974,20139,2010,16275
975,20141,2010,3850
976,20143,2010,6096
977,20145,2010,6980
978,20147,2010,5634
979,20149,2010,21728
980,20151,2010,9641
981,20153,2010,2496
982,20155,2010,64548
983,20157,2010,4938
984,20159,2010,10114
985,20161,2010,71553
986,20163,2010,5194
987,20165,2010,3314
988,20167,2010,6999
989,20169,2010,55783
990,20171,2010,4960
991,20173,2010,499127
992,20175,2010,22974
993,20177,2010,178350
994,20179,2010,2530
995,20181,2010,6018
996,20183,2010,3860
997,20185,2010,4429
998,20187,2010,2245
999,20189,2010,5752
1000,20191,2010,24117
1001,20193,2010,7930
1002,20195,2010,3006
1003,20197,2010,7049
1004,20199,2010,1480
1005,20201,2010,5784
1006,20203,2010,2238
1007,20205,2010,9392
1008,20207,2010,3309
1009,20209,2010,157639
1010,21000,2010,4348200
1011,21001,2010,18761
1012,21003,2010,20048
1013,21005,2010,21457
1014,21007,2010,8260
1015,21009,2010,42123
1016,21011,2010,11616
1017,21013,2010,28709
1018,21015,2010,119379
1019,21017,2010,19967
1020,21019,2010,49606
1021,21021,2010,28668
1022,21023,2010,8515
1023,21025,2010,13857
1024,21027,2010,20042
1025,21029,2010,74499
1026,21031,2010,12734
1027,21033,2010,13010
1028,21035,2010,37347
1029,21037,2010,90614
1030,21039,2010,5084
1031,21041,2010,10806
1032,21043,2010,27747
1033,21045,2010,15983
1034,21047,2010,74127
1035,21049,2010,35603
1036,21051,2010,21660
1037,21053,2010,10244
1038,21055,2010,9297
1039,21057,2010,6864
1040,21059,2010,96706
1041,21061,2010,12228
1042,21063,2010,7843
1043,21065,2010,14713
